,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
150,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,3.0,2.0,Yes,No,2.0,6.0,1.0,Yes,No,No,81-90,1.0,2.0,Practical,3.0,Bad
152,Female,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,5.0,4.0,No,Yes,10.0,9.0,3.0,No,Yes,yes,91-100,2.0,2.0,Practical,6.0,Bad
153,Female,Rural,Post Graduate,19.0,8.0,Laptop,Middle Class,6.0,3.0,No,No,2.0,6.0,1.0,No,No,yes,91-100,2.0,2.0,Practical,5.0,Bad
154,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,4.0,No,Yes,5.0,7.0,3.0,Yes,Yes,No,81-90,2.0,2.0,Both,6.0,Bad
155,Male,Urban,Under Graduate,18.0,7.0,Laptop,Middle Class,3.0,4.0,Yes,No,6.0,7.0,1.0,No,Yes,yes,91-100,4.0,3.0,Both,8.0,Good
156,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,5.0,7.0,4.0,No,Yes,No,81-90,3.0,3.0,Both,8.0,Average
159,Male,Rural,Under Graduate,21.0,8.0,Desktop,Middle Class,4.0,2.0,Yes,No,4.0,8.0,4.0,Yes,No,yes,81-90,3.0,3.0,Both,4.0,Bad
162,Male,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,3.0,Yes,No,6.0,6.0,3.0,Yes,No,No,81-90,3.0,4.0,Practical,6.0,Average
163,Male,Rural,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,4.0,No,No,3.0,6.0,2.0,No,Yes,yes,71-80,2.0,3.0,Practical,7.0,Average
164,Male,Urban,School,19.0,6.0,Laptop,Middle Class,3.0,4.0,No,No,1.0,6.0,5.0,No,Yes,yes,81-90,2.0,4.0,Both,7.0,Average
165,Male,Urban,Under Graduate,20.0,6.0,Laptop,Middle Class,3.0,4.0,No,No,4.0,7.0,2.0,No,Yes,No,81-90,2.0,2.0,Theory,8.0,Average
166,Female,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,5.0,5.0,No,No,5.0,8.0,2.0,No,Yes,yes,91-100,3.0,3.0,Both,10.0,Average
167,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,3.0,No,No,4.0,8.0,4.0,No,Yes,No,81-90,2.0,3.0,Practical,7.0,Average
168,Female,Urban,Under Graduate,20.0,6.0,Laptop,Middle Class,4.0,4.0,Yes,No,2.0,7.0,2.0,No,Yes,yes,81-90,4.0,4.0,Practical,7.0,Average
169,Female,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,5.0,6.0,4.0,No,Yes,yes,81-90,2.0,2.0,Both,9.0,Bad
170,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,1.0,7.0,3.0,Yes,Yes,No,91-100,2.0,3.0,Both,8.0,Average
171,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,3.0,5.0,Yes,Yes,2.0,7.0,3.0,Yes,Yes,No,71-80,3.0,2.0,Both,6.0,Bad
172,Female,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,4.0,No,No,5.0,8.0,3.0,No,Yes,yes,81-90,1.0,1.0,Practical,7.0,Average
173,Male,Urban,Under Graduate,20.0,7.0,Laptop,Rich,3.0,5.0,Yes,Yes,1.0,7.0,1.0,No,Yes,No,71-80,1.0,1.0,Both,8.0,Bad
