,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
36,Male,Urban,Under Graduate,18,5,Laptop,Middle Class,3,5,Yes,No,8,7,1,Yes,Yes,No,85.5,5,5,Practical,9,Good
37,Male,Urban,Under Graduate,18,6,Laptop,Middle Class,4,3,No,Yes,3,7,1,No,No,No,75.5,4,4,Practical,8,Average
38,Male,Rural,Post Graduate,21,8,Mobile,Middle Class,7,3,No,No,2,7,8,Yes,No,yes,75.5,2,1,Practical,6,Bad
39,Female,Rural,Under Graduate,17,6,Laptop,Middle Class,4,4,No,No,7,9,3,No,Yes,No,85.5,4,3,Both,9,Good
40,Female,Urban,Post Graduate,26,2,Laptop,Middle Class,4,4,No,No,1,6,1,Yes,No,No,85.5,3,2,Practical,7,Average
41,Female,Urban,School,19,5,Laptop,Middle Class,3,4,No,Yes,4,6,4,No,Yes,No,75.5,2,1,Theory,4,Bad
42,Male,Urban,Post Graduate,21,6,Mobile,Middle Class,4,3,No,Yes,3,7,3,Yes,Yes,yes,15.5,4,2,Both,4,Good
43,Female,Urban,Under Graduate,19,5,Laptop,Middle Class,6,4,No,Yes,7,6,1,No,Yes,yes,85.5,3,3,Practical,6,Average
44,Male,Urban,Under Graduate,18,5,Laptop,Middle Class,5,2,Yes,Yes,4,2,3,No,Yes,No,85.5,2,1,Practical,8,Bad
45,Male,Urban,Under Graduate,21,7,Mobile,Middle Class,4,3,No,No,3,8,3,Yes,Yes,yes,75.5,2,2,Practical,8,Average
46,Female,Urban,Post Graduate,21,7,Mobile,Middle Class,5,3,No,No,3,5,3,Yes,Yes,No,75.5,2,3,Theory,6,Average
47,Female,Urban,Under Graduate,21,9,Laptop,Middle Class,5,3,No,No,4,10,3,No,Yes,No,45.5,2,3,Theory,6,Good
48,Male,Urban,Post Graduate,21,6,Desktop,Middle Class,5,2,No,Yes,3,6,3,Yes,Yes,No,85.5,3,2,Practical,6,Average
49,Male,Rural,Post Graduate,21,8,Mobile,Middle Class,5,1,No,No,6,8,3,Yes,Yes,yes,35.5,3,1,Practical,4,Bad
